,Lead_Id,Name,Gender,City,University,Year_Of_Study,Program_Interested,Source,Converted
0,LD1,Nicole Burgess,Female,Indore,Amity University,2nd,Robotics,Mass-Mailing,Yes
1,LD2,Donna Sheppard,Female,Delhi,Jain University,3rd,Autocad,College Collaboration,No
2,LD3,Nicole Fischer,Male,Hyderabad,Jawaharlal Nehru Unversity,1st,AI,Instagram,Yes
3,LD4,Denise Richardson,Female,Mumbai,Jain University,1st,Java,LinkedIn,Yes
4,LD5,Lauren Christensen,Female,Delhi,Jawaharlal Nehru Unversity,2nd,Data Science,Mass-Mailing,Yes
5,LD6,Tyler Smith,Male,Mumbai,Jain University,4th,Robotics,College Collaboration,No
6,LD7,Jade Johnson,Female,Pune,Manipal University,3rd,Data Science,College Collaboration,Yes
7,LD8,Amber Young,Male,Hyderabad,IIT,2nd,Java,Whatsapp,No
8,LD9,Christopher Martin,Female,Bangalore,Jawaharlal Nehru Unversity,2nd,AI,Instagram,Yes
9,LD10,Ryan Miller,Male,Bangalore,Mumbai University,1st,Electric vehicle,Mass-Mailing,No
10,LD11,Billy Blankenship,Female,Delhi,IIT,3rd,Data Science,Google Form,Yes
11,LD12,Samantha Compton,Female,Indore,Jawaharlal Nehru Unversity,4th,Machine Learning,Mass-Mailing,No
12,LD13,James Price III,Male,Pune,Jain University,1st,Robotics,Mass-Mailing,No
13,LD14,Tracy Gordon,Male,Bangalore,Gujarat Technological University,4th,Robotics,Whatsapp,No
14,LD15,Stacy Greer,Female,Mumbai,Delhi Unversity,3rd,Autocad,Whatsapp,No
15,LD16,Kimberly Davis,Female,Delhi,IIT,4th,Machine Learning,College Collaboration,No
16,LD17,Samuel Ramos,Male,Pune,Jain University,1st,Data Science,Whatsapp,Yes
17,LD18,Debbie Aguilar,Male,Pune,Amity University,4th,AI,LinkedIn,Yes
18,LD19,Richard Li,Male,Pune,Delhi Unversity,1st,Robotics,Whatsapp,No
19,LD20,Maurice Davis,Female,Pune,Amity University,4th,Robotics,Instagram,No
20,LD21,Casey Anderson,Female,Bangalore,Manipal University,1st,Robotics,Google Form,No
